ChangeIndicator,ProductTitle,ProductId,SkuId,SkuTitle,Publisher,SkuDescription,UnitOfMeasure,TermDuration,BillingPlan,Market,Currency,UnitPrice,PricingTierRangeMin,PricingTierRangeMax,EffectiveStartDate,EffectiveEndDate,Tags,ERP Price,Segment,PreviousValues
Unchanged,10-year audit log retention,CFQ7TTC0HL8Z,5,10-Year Audit Log Retention Add On for FLW,Microsoft Corporation,"To help meet more rigorous regulatory and internal compliance obligations or support longer running investigations, organizations can now add 10-year audit log retention to Advanced Audit. Once enabled, you can access the logs in the Microsoft 365 Compliance Center or through the Office 365 Management Activity API.",,P1Y,Monthly,US,USD,13.56,,,2025-04-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,16.92,Commercial,
Unchanged,10-year audit log retention,CFQ7TTC0HL8Z,1,10-Year Audit Log Retention Add On,Microsoft Corporation,"To help meet more rigorous regulatory and internal compliance obligations or support longer running investigations, organizations can now add 10-year audit log retention to Advanced Audit. Once enabled, you can access the logs in the Microsoft 365 Compliance Center or through the Office 365 Management Activity API.",,P1Y,Monthly,US,USD,20.16,,,2025-04-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,25.2,Commercial,
Unchanged,10-year audit log retention,CFQ7TTC0HL8Z,4,10-Year Audit Log Retention Add On (Education Pricing),Microsoft Corporation,"To help meet more rigorous regulatory and internal compliance obligations or support longer running investigations, organizations can now add 10-year audit log retention to Advanced Audit. Once enabled, you can access the logs in the Microsoft 365 Compliance Center or through the Office 365 Management Activity API.",,P1Y,Annual,US,USD,19.2,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,24,Education,
Unchanged,10-year audit log retention,CFQ7TTC0HL8Z,4,10-Year Audit Log Retention Add On (Education Pricing),Microsoft Corporation,"To help meet more rigorous regulatory and internal compliance obligations or support longer running investigations, organizations can now add 10-year audit log retention to Advanced Audit. Once enabled, you can access the logs in the Microsoft 365 Compliance Center or through the Office 365 Management Activity API.",,P1M,Monthly,US,USD,1.92,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,2.4,Education,
Unchanged,10-year audit log retention,CFQ7TTC0HL8Z,4,10-Year Audit Log Retention Add On (Education Pricing),Microsoft Corporation,"To help meet more rigorous regulatory and internal compliance obligations or support longer running investigations, organizations can now add 10-year audit log retention to Advanced Audit. Once enabled, you can access the logs in the Microsoft 365 Compliance Center or through the Office 365 Management Activity API.",,P1Y,Monthly,US,USD,20.16,,,2025-04-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,25.2,Education,
Unchanged,10-year audit log retention,CFQ7TTC0HL8Z,1,10-Year Audit Log Retention Add On,Microsoft Corporation,"To help meet more rigorous regulatory and internal compliance obligations or support longer running investigations, organizations can now add 10-year audit log retention to Advanced Audit. Once enabled, you can access the logs in the Microsoft 365 Compliance Center or through the Office 365 Management Activity API.",,P1M,Monthly,US,USD,1.92,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,2.4,Commercial,
Unchanged,10-year audit log retention,CFQ7TTC0HL8Z,1,10-Year Audit Log Retention Add On,Microsoft Corporation,"To help meet more rigorous regulatory and internal compliance obligations or support longer running investigations, organizations can now add 10-year audit log retention to Advanced Audit. Once enabled, you can access the logs in the Microsoft 365 Compliance Center or through the Office 365 Management Activity API.",,P1Y,Annual,US,USD,19.2,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,24,Commercial,
Unchanged,10-year audit log retention,CFQ7TTC0HL8Z,5,10-Year Audit Log Retention Add On for FLW,Microsoft Corporation,"To help meet more rigorous regulatory and internal compliance obligations or support longer running investigations, organizations can now add 10-year audit log retention to Advanced Audit. Once enabled, you can access the logs in the Microsoft 365 Compliance Center or through the Office 365 Management Activity API.",,P1Y,Annual,US,USD,12.86,,,2024-09-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,16.08,Commercial,
Unchanged,10-year audit log retention,CFQ7TTC0HL8Z,5,10-Year Audit Log Retention Add On for FLW,Microsoft Corporation,"To help meet more rigorous regulatory and internal compliance obligations or support longer running investigations, organizations can now add 10-year audit log retention to Advanced Audit. Once enabled, you can access the logs in the Microsoft 365 Compliance Center or through the Office 365 Management Activity API.",,P1M,Monthly,US,USD,1.29,,,2024-09-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,1.61,Commercial,
Unchanged,Advanced Communications,CFQ7TTC0HDK0,000F,Advanced Communications (Governmental Community Cloud Pricing),Microsoft Corporation,"Advanced meetings, calling, workflow integration, and management tools for IT.",,P1Y,Annual,US,USD,115.2,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,144,Government,
Unchanged,Advanced Communications,CFQ7TTC0HDK0,1,Advanced Communications,Microsoft Corporation,"Advanced meetings, calling, workflow integration, and management tools for IT.",,P1Y,Monthly,US,USD,120.96,,,2025-04-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,151.2,Commercial,
Unchanged,Advanced Communications,CFQ7TTC0HDK0,000C,Advanced Communications (Education Faculty Pricing),Microsoft Corporation,"Advanced meetings, calling, workflow integration, and management tools for IT.",,P1M,Monthly,US,USD,2.3,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,2.88,Education,
Unchanged,Advanced Communications,CFQ7TTC0HDK0,1,Advanced Communications,Microsoft Corporation,"Advanced meetings, calling, workflow integration, and management tools for IT.",,P1M,Monthly,US,USD,11.52,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,14.4,Commercial,
Unchanged,Advanced Communications,CFQ7TTC0HDK0,000F,Advanced Communications (Governmental Community Cloud Pricing),Microsoft Corporation,"Advanced meetings, calling, workflow integration, and management tools for IT.",,P1Y,Monthly,US,USD,120.96,,,2025-04-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,151.2,Government,
Unchanged,Advanced Communications,CFQ7TTC0HDK0,000B,Advanced Communications (Non-Profit Pricing),Microsoft Corporation,"Advanced meetings, calling, workflow integration, and management tools for IT.",,P1M,Monthly,US,USD,5.18,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,5.76,Charity,
Unchanged,Advanced Communications,CFQ7TTC0HDK0,000B,Advanced Communications (Non-Profit Pricing),Microsoft Corporation,"Advanced meetings, calling, workflow integration, and management tools for IT.",,P1Y,Monthly,US,USD,54.48,,,2025-04-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,60.48,Charity,
Unchanged,Advanced Communications,CFQ7TTC0HDK0,000C,Advanced Communications (Education Faculty Pricing),Microsoft Corporation,"Advanced meetings, calling, workflow integration, and management tools for IT.",,P1Y,Annual,US,USD,23.04,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,28.8,Education,
Unchanged,Advanced Communications,CFQ7TTC0HDK0,000D,Advanced Communications (Education Student Pricing),Microsoft Corporation,"Advanced meetings, calling, workflow integration, and management tools for IT.",,P1M,Monthly,US,USD,1.73,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,2.16,Education,
Unchanged,Advanced Communications,CFQ7TTC0HDK0,1,Advanced Communications,Microsoft Corporation,"Advanced meetings, calling, workflow integration, and management tools for IT.",,P1Y,Annual,US,USD,115.2,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,144,Commercial,
Unchanged,Advanced Communications,CFQ7TTC0HDK0,000F,Advanced Communications (Governmental Community Cloud Pricing),Microsoft Corporation,"Advanced meetings, calling, workflow integration, and management tools for IT.",,P1M,Monthly,US,USD,11.52,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,14.4,Government,
Unchanged,Advanced Communications,CFQ7TTC0HDK0,000C,Advanced Communications (Education Faculty Pricing),Microsoft Corporation,"Advanced meetings, calling, workflow integration, and management tools for IT.",,P1Y,Monthly,US,USD,24.24,,,2025-04-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,30.24,Education,
Unchanged,Advanced Communications,CFQ7TTC0HDK0,000D,Advanced Communications (Education Student Pricing),Microsoft Corporation,"Advanced meetings, calling, workflow integration, and management tools for IT.",,P1Y,Annual,US,USD,17.28,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,21.6,Education,
Unchanged,Advanced Communications,CFQ7TTC0HDK0,000B,Advanced Communications (Non-Profit Pricing),Microsoft Corporation,"Advanced meetings, calling, workflow integration, and management tools for IT.",,P1Y,Annual,US,USD,51.84,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,57.6,Charity,
Unchanged,Advanced Communications,CFQ7TTC0HDK0,000D,Advanced Communications (Education Student Pricing),Microsoft Corporation,"Advanced meetings, calling, workflow integration, and management tools for IT.",,P1Y,Monthly,US,USD,18.12,,,2025-04-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,22.68,Education,
Unchanged,Advanced eDiscovery Storage,CFQ7TTC0LHQD,4,Advanced eDiscovery Storage (Education Faculty Pricing),Microsoft Corporation,500GB Storage add on for Office 365 Advanced eDiscovery to analyze non-Office 365 content,,P1Y,Annual,US,USD,192,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,240,Education,
Unchanged,Advanced eDiscovery Storage,CFQ7TTC0LHQD,4,Advanced eDiscovery Storage (Education Faculty Pricing),Microsoft Corporation,500GB Storage add on for Office 365 Advanced eDiscovery to analyze non-Office 365 content,,P1M,Monthly,US,USD,19.2,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,24,Education,
Unchanged,Advanced eDiscovery Storage,CFQ7TTC0LHQD,1,Advanced eDiscovery Storage,Microsoft Corporation,500GB Storage add on for Office 365 Advanced eDiscovery to analyze non-Office 365 content,,P1Y,Annual,US,USD,960,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,1200,Commercial,
Unchanged,Advanced eDiscovery Storage,CFQ7TTC0LHQD,4,Advanced eDiscovery Storage (Education Faculty Pricing),Microsoft Corporation,500GB Storage add on for Office 365 Advanced eDiscovery to analyze non-Office 365 content,,P1Y,Monthly,US,USD,201.6,,,2025-04-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,252,Education,
Unchanged,Advanced eDiscovery Storage,CFQ7TTC0LHQD,5,Advanced eDiscovery Storage (Non-Profit Pricing),Microsoft Corporation,500GB Storage add on for Office 365 Advanced eDiscovery to analyze non-Office 365 content,,P1M,Monthly,US,USD,43.2,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,48,Charity,
Unchanged,Advanced eDiscovery Storage,CFQ7TTC0LHQD,5,Advanced eDiscovery Storage (Non-Profit Pricing),Microsoft Corporation,500GB Storage add on for Office 365 Advanced eDiscovery to analyze non-Office 365 content,,P1Y,Monthly,US,USD,453.6,,,2025-04-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,504,Charity,
Unchanged,Advanced eDiscovery Storage,CFQ7TTC0LHQD,1,Advanced eDiscovery Storage,Microsoft Corporation,500GB Storage add on for Office 365 Advanced eDiscovery to analyze non-Office 365 content,,P1M,Monthly,US,USD,96,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,120,Commercial,
Unchanged,Advanced eDiscovery Storage,CFQ7TTC0LHQD,1,Advanced eDiscovery Storage,Microsoft Corporation,500GB Storage add on for Office 365 Advanced eDiscovery to analyze non-Office 365 content,,P1Y,Monthly,US,USD,1008,,,2025-04-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,1260,Commercial,
Unchanged,Advanced eDiscovery Storage,CFQ7TTC0LHQD,5,Advanced eDiscovery Storage (Non-Profit Pricing),Microsoft Corporation,500GB Storage add on for Office 365 Advanced eDiscovery to analyze non-Office 365 content,,P1Y,Annual,US,USD,432,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,480,Charity,
Unchanged,Business Apps (free),CFQ7TTC0LHZ0,1,Business Apps (free),Microsoft Corporation,Includes Microsoft Bookings – business apps from Office 365 that’ll help you run and grow your business. Now available in a free add-on SKU for Office 365 Enterprise E3 and E5 users.,,P1Y,Annual,US,USD,0,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,0,Commercial,
Unchanged,Business Apps (free),CFQ7TTC0LHZ0,1,Business Apps (free),Microsoft Corporation,Includes Microsoft Bookings – business apps from Office 365 that’ll help you run and grow your business. Now available in a free add-on SKU for Office 365 Enterprise E3 and E5 users.,,P1M,Monthly,US,USD,0,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,0,Commercial,
Unchanged,Business Apps (free),CFQ7TTC0LHZ0,1,Business Apps (free),Microsoft Corporation,Includes Microsoft Bookings – business apps from Office 365 that’ll help you run and grow your business. Now available in a free add-on SKU for Office 365 Enterprise E3 and E5 users.,,P1Y,Monthly,US,USD,0,,,2024-05-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,0,Commercial,
Unchanged,Cross-Tenant Shared Data Migration,CFQ7TTC131Z8,2,Cross-Tenant Shared Data Migration,Microsoft Corporation,Cross-Tenant Shared Data Migration supports migration of SharePoint sites from one tenant to another.,,P1Y,Annual,US,USD,38.4,,,2025-08-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,48,Commercial,
Unchanged,Cross-Tenant Shared Data Migration,CFQ7TTC131Z8,2,Cross-Tenant Shared Data Migration,Microsoft Corporation,Cross-Tenant Shared Data Migration supports migration of SharePoint sites from one tenant to another.,,P1Y,Monthly,US,USD,40.32,,,2025-08-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,50.4,Commercial,
Unchanged,Cross-tenant user data migration,CFQ7TTC0R2N9,5,Cross-tenant user data migration,Microsoft Corporation,Cross-tenant user data migration is a feature that enables customers to migrate user data from one Microsoft 365 tenant to another.,,P1Y,Annual,US,USD,12,,,2025-02-01T00:00:00.0000000Z,9999-11-30T23:59:59.0000000Z,License,15,Commercial,
